单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
31760.0,102.33,7,3,2,1,8,8,0,20,3,5,5,0,4,0,1,3250000.0
33355.0,127.42,7,4,2,2,8,61,1,17,0,5,5,0,4,2,1,4250000.0
20887.0,109.16,25,3,1,2,5,60,2,17,3,4,2,0,4,2,0,2280000.0
27745.0,117.14,23,3,1,1,8,69,2,17,3,4,5,0,4,2,1,3250000.0
20026.0,47.44,11,1,1,1,1,45,0,15,0,4,5,0,4,2,1,950000.0
23404.0,82.04,19,3,2,1,9,35,1,14,3,2,5,0,4,1,1,1920000.0
22541.0,77.55,33,2,2,1,8,1,2,17,1,4,5,0,4,2,1,1748000.0
26668.0,108.37,6,3,2,2,8,81,0,17,3,5,5,0,4,0,1,2890000.0
17619.0,133.38,6,4,2,2,8,31,2,17,3,4,5,0,4,0,0,2350000.0
32409.0,139.78,32,4,2,2,8,1,2,17,3,5,5,0,4,2,1,4530000.0
21746.0,68.06,6,2,1,1,8,61,1,17,3,5,5,0,4,0,1,1480000.0
23174.0,59.12,6,2,1,1,8,47,0,17,0,5,5,0,4,0,1,1370000.0
23474.0,71.57,11,2,1,1,6,70,1,13,3,5,5,0,4,2,1,1680000.0
23731.0,80.91,8,2,2,1,8,47,2,20,3,5,4,0,4,0,1,1920000.0
22068.0,138.21,14,4,2,2,6,84,0,17,1,4,0,0,4,2,1,3050000.0
40348.0,128.88,32,4,2,2,8,86,0,17,3,2,5,0,4,2,1,5200000.0
28837.0,105.77,18,3,2,2,8,79,1,20,3,4,5,0,4,2,0,3050000.0
13621.0,49.19,34,3,1,1,8,44,2,17,3,5,5,0,2,2,1,670000.0
18511.0,67.53,7,2,1,1,5,32,2,17,3,5,5,0,4,1,0,1250000.0
17153.0,137.01,9,3,2,2,8,6,2,20,1,5,4,0,4,2,1,2350000.0
14507.0,86.86,6,3,2,1,1,39,0,20,2,2,0,0,4,0,1,1260000.0
29956.0,100.15,6,2,1,1,8,5,0,17,3,5,5,0,4,0,1,3000000.0
15570.0,30.83,16,2,1,2,6,50,1,15,3,0,5,0,2,2,1,480000.0
16778.0,126.36,7,3,2,2,9,35,1,20,0,5,1,0,4,0,1,2120000.0
31393.0,63.39,7,2,1,1,8,82,2,17,2,5,4,0,4,0,1,1990000.0
21845.0,80.11,29,3,1,1,9,87,2,13,0,4,5,0,4,2,0,1750000.0
12700.0,45.67,12,2,1,2,6,90,2,15,3,5,5,0,2,2,1,580000.0
8301.0,128.42,33,3,2,2,4,51,0,20,0,5,5,0,4,2,1,1066000.0
18497.0,92.99,6,3,2,1,5,37,2,17,3,2,1,0,4,1,0,1720000.0
33232.0,111.34,7,4,2,2,8,68,2,17,3,5,4,0,4,0,0,3700000.0
26275.0,57.85,11,2,1,1,5,64,1,17,3,5,5,0,4,2,0,1520000.0
19058.0,87.63,18,2,2,1,8,31,1,17,2,5,2,2,4,2,1,1670000.0
23285.0,30.02,7,1,0,1,1,45,0,0,2,5,4,0,4,0,1,699000.0
13532.0,45.67,12,2,1,1,6,90,2,15,3,5,5,0,2,2,1,618000.0
18435.0,94.93,11,3,1,2,1,34,1,17,1,4,5,0,4,1,0,1750000.0
22338.0,55.96,7,2,2,1,9,40,0,17,2,2,0,0,4,1,1,1250000.0
15345.0,58.0,7,2,1,1,1,39,0,20,2,2,2,0,4,0,1,890000.0
27664.0,67.96,26,2,1,1,1,45,0,17,3,0,5,0,4,2,0,1880000.0
21413.0,73.79,17,2,2,1,6,90,0,17,3,5,5,0,4,2,0,1580000.0
21983.0,117.82,7,3,2,1,6,56,0,17,2,5,5,0,4,0,1,2590000.0
26749.0,99.07,26,3,2,1,1,45,0,17,3,0,5,0,4,2,0,2650000.0
14154.0,127.18,28,3,2,2,1,34,2,20,3,4,5,0,4,2,1,1800000.0
38376.0,112.05,17,3,1,2,8,89,2,17,3,0,5,0,4,2,1,4300000.0
7861.0,101.77,33,3,2,1,4,51,1,17,2,5,5,0,4,2,1,800000.0
25287.0,37.57,7,2,1,1,6,27,2,17,2,5,5,0,4,0,1,950000.0
19838.0,128.85,18,3,1,2,8,61,2,17,0,5,5,0,4,2,0,2556000.0
27502.0,105.45,30,3,2,2,8,79,1,20,3,0,5,0,4,2,1,2900000.0
22639.0,154.16,18,4,2,2,9,35,1,17,3,5,5,0,4,2,1,3490000.0
37753.0,137.74,7,4,2,2,8,61,0,17,3,5,5,0,4,2,1,5200000.0
25960.0,167.57,18,4,2,2,8,71,2,20,3,5,5,0,4,2,1,4350000.0
20740.0,62.2,6,2,1,1,1,45,0,17,3,5,5,0,4,0,0,1290000.0
21088.0,78.72,7,2,2,1,8,82,2,17,2,5,5,0,4,0,1,1660000.0
12184.0,105.06,20,3,2,2,2,28,0,17,3,1,5,0,4,1,1,1280000.0
23389.0,84.23,18,2,1,1,6,65,1,20,3,5,5,0,4,2,0,1970000.0
16380.0,125.16,18,3,1,1,9,35,0,17,1,5,5,0,4,2,1,2050000.0
23838.0,50.34,8,2,1,1,8,3,0,17,2,5,5,0,4,0,1,1200000.0
23507.0,110.61,5,3,2,2,8,31,0,13,3,5,5,0,4,0,1,2600000.0
22309.0,71.72,8,3,1,1,6,76,0,17,2,5,4,0,4,0,1,1600000.0
27086.0,92.3,18,3,2,2,1,45,2,17,1,2,5,0,4,1,1,2500000.0
24616.0,104.81,14,3,2,1,6,84,0,17,0,5,5,0,4,2,0,2580000.0
11475.0,76.69,34,2,1,1,8,44,0,13,3,5,5,0,2,2,1,880000.0
27241.0,106.46,18,3,1,2,9,35,1,17,0,5,5,0,4,1,1,2900000.0
24710.0,68.8,20,2,1,1,8,1,2,17,2,5,5,0,4,2,1,1700000.0
8405.0,86.86,26,3,2,1,4,51,1,16,3,5,5,0,4,2,1,730000.0
25799.0,102.72,33,3,2,1,8,1,1,17,3,5,5,0,4,2,0,2650000.0
33717.0,53.09,21,2,2,1,8,8,1,27,3,5,5,0,4,2,1,1790000.0
14872.0,60.52,6,2,1,1,6,84,2,17,0,5,5,0,4,1,1,900000.0
16464.0,120.87,11,3,2,2,6,90,0,17,1,4,5,2,4,2,1,1990000.0
