单价,建筑面积,总楼层数,室数,厅数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
27338.0,106.08,30,3,2,2,26.52,3.4219354838709677,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0694130684399048,8,78,2,17,3,4,5,0,4,1,1,2900000.0
15554.0,117.66,8,3,2,2,29.415,13.073333333333332,0.5,0.5,7,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.8934722580257298,6,83,1,17,3,4,5,0,4,1,1,1830000.0
12504.0,110.37,6,3,1,2,27.5925,15.767142857142858,0.25,0.5,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.6737659650685831,6,83,0,17,1,4,5,2,4,1,1,1380000.0
23932.0,112.82,11,3,2,2,28.205,9.401666666666666,0.5,0.5,7,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.31823775774288,6,69,0,13,3,4,5,0,4,2,1,2700000.0
30606.0,111.09,15,3,2,2,27.7725,6.943125,0.5,0.5,7,3,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.660003102342886,6,69,2,13,3,2,0,0,4,1,1,3400000.0
24315.0,129.55,11,3,2,2,32.3875,10.795833333333334,0.5,0.5,7,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.1616038502019654,8,16,0,17,3,3,5,0,4,2,1,3150000.0
18227.0,88.88,6,2,2,1,29.626666666666665,12.697142857142856,0.6666666666666666,0.3333333333333333,5,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.790942654645728,6,69,2,17,3,4,2,0,4,0,1,1620000.0
19747.0,124.07,15,3,2,1,31.0175,7.754375,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.1961787061000209,6,83,2,17,3,4,5,0,4,0,1,2450000.0
22308.0,121.93,26,3,2,2,30.4825,4.515925925925926,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.003035705571221,8,60,2,17,3,4,5,2,4,2,1,2720000.0
31116.0,134.98,15,4,2,2,26.996,8.43625,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.5488051336026207,8,85,0,17,3,4,5,0,4,2,1,4200000.0
33756.0,138.94,32,4,2,3,27.788,4.21030303030303,0.4,0.6,9,3,3,2048187.9432624113,1840000.0,968698.6620355729,564,2.2898278088200397,6,55,2,17,3,4,5,0,4,1,1,4690000.0
